species,sci,lat,lon,month
Demoiselle Crane,Anthropoides virgo,42.899394,71.528246,3
Demoiselle Crane,Anthropoides virgo,47.130903,43.592211,3
Demoiselle Crane,Anthropoides virgo,46.094833,43.177817,3
Demoiselle Crane,Anthropoides virgo,45.899187,43.352245,3
Demoiselle Crane,Anthropoides virgo,42.296334,73.134834,3
Demoiselle Crane,Anthropoides virgo,41.571559,45.33569,4
Demoiselle Crane,Anthropoides virgo,43.137845,73.991849,4
Demoiselle Crane,Anthropoides virgo,54.603372,83.135603,4
Demoiselle Crane,Anthropoides virgo,49.136827,46.652931,4
Demoiselle Crane,Anthropoides virgo,54.391328,80.810967,4
Demoiselle Crane,Anthropoides virgo,49.007471,46.851332,4
Demoiselle Crane,Anthropoides virgo,49.05648,46.847606,4
Demoiselle Crane,Anthropoides virgo,46.295998,44.670443,4
Demoiselle Crane,Anthropoides virgo,43.644292,76.783491,4
Demoiselle Crane,Anthropoides virgo,43.633188,76.703645,4
Demoiselle Crane,Anthropoides virgo,44.17289,76.976209,4
Demoiselle Crane,Anthropoides virgo,53.596588,84.048338,4
Demoiselle Crane,Anthropoides virgo,51.214549,72.173911,4
Demoiselle Crane,Anthropoides virgo,47.383792,42.812564,4
Demoiselle Crane,Anthropoides virgo,43.6294,76.5434,4
Demoiselle Crane,Anthropoides virgo,46.178905,43.261587,4
Demoiselle Crane,Anthropoides virgo,53.351066,85.463458,4
Demoiselle Crane,Anthropoides virgo,51.215439,71.840391,4
Demoiselle Crane,Anthropoides virgo,43.507363,77.235493,4
Demoiselle Crane,Anthropoides virgo,46.613793,44.908619,4
Demoiselle Crane,Anthropoides virgo,46.044748,43.486476,4
Demoiselle Crane,Anthropoides virgo,46.621208,44.997484,4
Demoiselle Crane,Anthropoides virgo,46.61472,44.906909,4
Demoiselle Crane,Anthropoides virgo,46.611272,44.893397,4
Demoiselle Crane,Anthropoides virgo,44.351536,75.455055,4
Demoiselle Crane,Anthropoides virgo,41.571559,45.33569,4
Demoiselle Crane,Anthropoides virgo,46.132086,43.347373,4
Demoiselle Crane,Anthropoides virgo,49.823357,73.194561,4
Demoiselle Crane,Anthropoides virgo,46.202752,43.30057,4
Demoiselle Crane,Anthropoides virgo,47.233019,43.833592,4
Demoiselle Crane,Anthropoides virgo,49.13747,46.836255,4
Demoiselle Crane,Anthropoides virgo,47.302279,44.048015,4
Demoiselle Crane,Anthropoides virgo,50.59473,70.437866,4
Demoiselle Crane,Anthropoides virgo,50.835922,70.33168,4
Demoiselle Crane,Anthropoides virgo,49.139275,46.817108,4
Demoiselle Crane,Anthropoides virgo,46.068329,43.540076,4
Demoiselle Crane,Anthropoides virgo,50.306698,87.640737,4
Demoiselle Crane,Anthropoides virgo,52.802485,56.385152,4
Demoiselle Crane,Anthropoides virgo,50.306101,87.640214,4
Demoiselle Crane,Anthropoides virgo,44.475732,46.485805,4
Demoiselle Crane,Anthropoides virgo,46.007403,43.434425,4
Demoiselle Crane,Anthropoides virgo,46.07516,43.54981,4
Demoiselle Crane,Anthropoides virgo,46.186385,43.509073,4
Demoiselle Crane,Anthropoides virgo,47.190989,44.517908,4
Demoiselle Crane,Anthropoides virgo,41.571559,45.33569,4
Demoiselle Crane,Anthropoides virgo,44.942537,76.01266,4
Demoiselle Crane,Anthropoides virgo,43.653053,76.864969,4
Demoiselle Crane,Anthropoides virgo,47.550039,53.111156,4
Demoiselle Crane,Anthropoides virgo,46.207872,43.147525,4
Demoiselle Crane,Anthropoides virgo,53.743131,77.608689,4
Demoiselle Crane,Anthropoides virgo,45.190164,78.408086,4
Demoiselle Crane,Anthropoides virgo,45.190164,78.408086,4
Demoiselle Crane,Anthropoides virgo,41.571576,45.335717,4
Demoiselle Crane,Anthropoides virgo,49.95252,92.05711,4
Demoiselle Crane,Anthropoides virgo,51.64759,94.28569,4
Demoiselle Crane,Anthropoides virgo,51.33749,91.74361,4
Demoiselle Crane,Anthropoides virgo,46.07313,43.52667,4
Demoiselle Crane,Anthropoides virgo,51.53335,92.95661,4
Demoiselle Crane,Anthropoides virgo,46.076595,43.537944,4
Demoiselle Crane,Anthropoides virgo,46.076745,43.538229,4
Demoiselle Crane,Anthropoides virgo,46.074193,43.540353,4
Demoiselle Crane,Anthropoides virgo,46.076843,43.535498,4
